0x02005304
0xffffffff
0x0     0x0011532C
0x1     0x00114844
0x3     0x00111778
0x6     0x008CB8D4
0x7     0x008CBCAC
0x8     0x001CCE00
0x9     0x001CD6B4
0xa     0x008CD300
0xe     0x008A39E8
0xf     0x0085143C
0x20    0x000B6FC0
0x21    0x00091768
0x22    0x013366E4
0x24    0x00081480
0x2f    0x014534E4
0x30    0x00000018
0x31    0x00000034
0x32    0x00000070
0x33    0x00000000
0x34    0x0000004c
0x35    0x01322084
:EOS:
FlashChipAddr        0xBF000000
FlashSemAddr         0x01454678
FlashSemUseOffset    0x00000018
ArpTableAddrPtr      0x01623310
ConfigAddr           0x01453A30
PingPtr              0x0133D494
SafeSpace            0x01000000
ImgCkSum             0x9E73ED74
CodeCkSum            0xE64DD997
SystemCkSum          0x454638CF
TimeTablePtr         0x014542D8
LogTablePtr          0x01453A88
LogOptsPtr           0x01675A70
CritTablePtr         0x01453A98
Printf               0x008CD300
Socket               0x0011C048
Bind                 0x0011CC50
Connect              0x0011FC5C
Send                 0x001203F4
Recv                 0x00120904
Close                0x00120D7C
Malloc               0x001CCE00
Free                 0x001CD6B4
Resched              0x00090D18
:EOS:
