0x02005411
0xffffffff
0x0     0x0013105C
0x1     0x001303BC
0x3     0x0012B55C
0x6     0x00ADB638
0x7     0x00ADB900
0x8     0x00218498
0x9     0x00218D00
0xa     0x00ADCDB4
0xf     0x00A2B17C
0x20    0x000C57F0
0x21    0x00091B24
0x22    0x01837718
0x24    0x00081480
0x2f    0x0197F6DC
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x01822084
:EOS:
ArpTableAddrPtr      0x01BA10E0
ConfigAddr           0x0197FC68
PingPtr              0x0183F2C0
SafeSpace            0x01000000
ImgCkSum             0x398D75A6
CodeCkSum            0xF525ED7C
SystemCkSum          0x3D03D11D
TimeTablePtr         0x019805A0
LogTablePtr          0x0197FCCC
LogOptsPtr           0x01BF6C60
CritTablePtr         0x0197FCDC
Printf               0x00ADCDB4
Socket               0x00138390
Bind                 0x00138F98
Connect              0x0013BFE0
Send                 0x0013C778
Recv                 0x0013CCC4
Close                0x0013D13C
Malloc               0x00218498
Free                 0x00218D00
Resched              0x000910A0
:EOS:
